relative_time,AccX,AccY,AccZ,BarometerSensor,CompassSensor,,,,
21328,8.785530396,-7.247628479,-0.012424164,984.9499512,319.9985352,,0,,
21396,7.72603363,-7.038962402,1.021924896,984.9499512,319.9985352,,0,,
21462,6.408922577,-5.751340027,1.346899109,984.9499512,322.1913757,,0,,
21528,7.296876068,-7.052284698,1.246607666,984.9499512,322.1913757,,0,,
21596,7.642058258,-7.005132751,1.118174744,984.9499512,320.2937317,,0,,
21662,5.952072601,-5.37532196,1.249751129,984.9499512,319.2514038,,0,,
21728,7.841293945,-7.29897171,1.351090393,984.9499512,319.2514038,,0,,
21796,6.704707489,-5.69835022,1.189725952,984.9499512,319.2514038,,0,,
21862,7.269483032,-6.01194809,1.043629761,984.9499512,319.2514038,,0,,
21929,7.244634705,-6.318360901,1.100511475,984.9499512,319.2514038,,0,,
21996,7.378306732,-7.551795959,1.995500336,984.9499512,318.0909424,,0,,
22062,8.530161438,-8.122109985,1.710043945,984.9499512,316.9963989,,0,,
22129,8.852441254,-9.068741455,1.287622375,984.9499512,315.6046448,,0,,
22196,7.472910004,-8.559350739,0.442180481,984.9499512,314.5979004,,0.005264282,,
22263,4.63121933,-5.747298431,-0.033380585,984.9552155,309.5264587,,0,,
22328,5.524262238,-9.637259216,-0.248483276,984.9552155,304.5708923,,0,,
22395,4.241130524,-7.571405182,-0.38963974,984.9552155,300.0115356,,0,,
22463,4.431833954,-7.129823456,-0.065264282,984.9552155,300.0115356,,0,,
22529,4.609215088,-7.727829895,-0.586630096,984.9552155,302.9986267,,0,,
22596,5.381758575,-8.006550293,0.33111145,984.9552155,305.4578857,,0,,
22663,6.295907593,-8.517437897,1.427581329,984.9552155,310.8901367,,0,,
22728,4.525988159,-7.539970551,2.639012146,984.9552155,314.53479,,0,,
22796,5.39523056,-7.893684998,3.110830994,984.9552155,315.9820251,,0,,
22863,4.391268311,-7.258555756,2.808908844,984.9552155,319.394989,,0,,
22929,3.732039185,-7.713459778,3.638633423,984.9552155,322.3339233,,0,,
22996,3.542682953,-6.571035461,5.359904022,984.9552155,328.6578064,,0,,
23062,2.518662415,-7.432044983,5.300627289,984.9552155,333.4331665,,0,,
23129,2.997666321,-6.656956787,5.347479858,984.9552155,334.9127808,,0.002746582,,
23195,2.598446503,-7.019951935,6.034401398,984.957962,337.2606506,,0,,
23263,2.531535645,-6.995702362,6.031707001,984.957962,337.2606506,,0,,
23328,3.158881073,-6.961573334,6.834786987,984.957962,337.2606506,,0,,
23395,8.890911255,-15.65025513,7.76704834,984.957962,336.1514587,,0,,
23463,2.114502869,-6.644083557,3.035537567,984.957962,331.0061646,,0,,
23528,5.713019714,-7.292535095,3.184777222,984.957962,322.5042725,,0,,
23596,6.367758179,-10.1179097,-0.751437378,984.957962,307.3526306,,0,,
23663,6.571933594,-5.449268188,-0.62360321,984.957962,304.5745239,,0,,
23728,4.42524765,-3.381168823,-1.029559021,984.957962,307.328064,,0,,
23796,7.610473938,-7.173981628,0.420625305,984.957962,306.2783203,,0,,
23863,7.989036713,-8.195906525,1.467847595,984.957962,306.2783203,,0,,
23929,5.697302399,-5.356161804,1.198856964,984.957962,307.834137,,0,,
23996,5.135221252,-4.660258942,1.372795258,984.957962,312.2831726,,0,,
24062,7.373067627,-6.593339081,1.376537476,984.957962,313.7408447,,0,,
24128,9.185798035,-9.785151672,1.773511963,984.957962,313.7408447,,0,,
24196,5.460345154,-5.538183289,1.458117828,984.957962,317.473999,,0,,
24263,7.964936829,-7.433841248,1.980830841,984.957962,320.0959778,,0,,
24328,7.542066193,-8.026907959,2.930755463,984.957962,320.0959778,,0,,
24396,10.246642,-11.11693222,1.132095795,984.957962,316.5705566,,0,,
24463,7.855664063,-12.44646744,-1.05545517,984.957962,311.8297424,,0,,
24529,2.601889343,-7.218439178,-1.139729919,984.957962,299.6836548,,0,,
24596,2.252815247,-7.514523468,-0.534538422,984.957962,286.693573,,0,,
24663,3.172353058,-6.908583527,0.09475296,984.957962,292.9710388,,0,,
24729,4.999902649,-7.078629913,1.265169067,984.957962,299.0227051,,0,,
24796,5.826034698,-7.222630463,0.42242157,984.957962,302.5426636,,0,,
24862,5.747597809,-6.608158264,0.094303894,984.957962,305.0476685,,0,,
24928,5.082680511,-9.03311554,0.74649765,984.957962,306.2255554,,0,,
24996,6.607260132,-8.224347382,1.757345581,984.957962,309.384613,,-0.004730225,,
25063,5.618566132,-8.246201935,2.456092529,984.9532318,313.6419373,,0,,
25129,4.521647186,-7.409292297,3.163820801,984.9532318,321.8078308,,0,,
25196,2.512525177,-7.260801086,4.929698639,984.9532318,327.6507568,,0,,
25263,3.363655243,-7.416776733,4.527784424,984.9532318,332.3833923,,0,,
25328,3.051254883,-7.329657898,3.943399658,984.9532318,333.9039307,,0,,
25396,2.738555145,-7.265740814,5.483397217,984.9532318,335.7367249,,0,,
